Paper,Author,Title,Impact_variables,Year,Field,Empirical,Type,Method,Teaching_approach,Context
1,"Antolin-Lopez, R., & Garcia-de-Frutos, N.","Learning in Higher Education: The Role of Sustainability Integration Strategies, Legitimacy, and Teaching Tools", degree of experience of real-life situations,2010,Sustainability,Empirical,Effectiveness testing single school,Quantitative,Case studies,HEI
2,"Backman, M., Pitt, H., Marsden, T., Mehmood, A. and Mathijs, E.",Experiential approaches to sustainability education: towards learning landscapes, degree of experience of real-life situations,2016,Sustainability,Literature Review,Overview of multiple approaches,NA,Experiential education,HEI
3,"Barber, Nelson A. and Venkatachalam, Venky",Integrating Social Responsibility Into Business School Undergraduate Education: A Student Perspective, degree of experience of real-life situations,2006,CSR,Empirical,Evaluation of student preferences (single school),Quantitative,Multiple,HEI
4,"Brody, S. D., & Ryu, H.",Measuring the educational impacts of a graduate course on sustainable development, degree of experience of real-life situations,2010,Sustainability,Empirical,Effectiveness testing single course,Quantitative,Problem-based learning,HEI
5,"Brundiers, K., Wiek, A., Redman, C. L.",Real-world learning opportunities in sustainability: from classroom into the real world, degree of experience of real-life situations,2017,Sustainability,"Literature Review, Theoretical",Framework proposal,NA,"Project-based learning,Problem-based learning,Service learning",HEI
6,"Cagle, Julie A. B.; Baucus, Melissa S.",Case Studies of Ethics Scandals: Effects on Ethical Perceptions of Finance Students, degree of experience of real-life situations,2006,Ethics/Business Ethics,Empirical,Effectiveness testing single course,Quantitative,Case studies,HEI
7,"Felton, E.L., Sims, R.R.",Teaching Business Ethics: Targeted Outputs, degree of experience of real-life situations,2017,Ethics/Business Ethics,Literature Review,Review of sustainability competencies and/or their evaluations (general),NA,Multiple,HEI
8,"Fenstermacher, Gary D.; Soltis, Jonas F.",Approaches to Teaching, degree of experience of real-life situations,2019,University education in general,Theoretical,Overview of multiple approaches,NA,Experiential education,Multiple
9,"Harrison, J., Palmer, T.",Interprofessional Study Abroad: Enhancing Social Justice and Sustainability through Shared Experiential Learning, degree of experience of real-life situations,2013,University education in general,Empirical,Analytic description single course,Qualitative,Multiple,HEI
10,"Haski-Leventhal, D., Concato, J.","The State of CSR and RME in Business Schools and the Attitudes of their Students. Third bi-annual study, 2016", degree of experience of real-life situations,2007,CSR,Empirical,Effectiveness testing multiple schools,Quantitative,Gaming & Simulations,HEI
11,"Jagger, S., Siala, H., & Sloan, D.",It’s All in the Game: A 3D Learning Model for Business Ethics, degree of experience of real-life situations,2011,CSR,Empirical,Effectiveness testing single method/tool,"Qualitative, Quantitative",Project-based learning,HEI
12,"Ngereja, B., Hussein, B., & Andersen, B.",Does Project-Based Learning (PBL) Promote Student Learning? A Performance Evaluation, degree of experience of real-life situations,2012,Ethics/Business Ethics,Empirical,Effectiveness testing single course,Quantitative,Multiple,HEI
13,"SHIN, Y.-S.",Virtual Reality Simulations in Web-Based Science Education, degree of experience of real-life situations,2018,Ethics/Business Ethics,"Methodological, Empirical",Effectiveness testing single method/tool,Quantitative,"Lecture-based teaching,Case studies",School
14,"Waples, E. P., Antes, A. L., Murphy, S. T., Connelly, S., & Mumford, M. D.",A meta-analytic investigation of business ethics instruction, degree of experience of real-life situations,2005,University education in general,Empirical,Effectiveness evaluation of teaching method (meta-analysis/review),Meta-analysis,Gaming & Simulations,Multiple
15,"Nicholls, J., Hair, J. F., Ragland, C. B., & Schimmel, K. E.","Ethics, Corporate Social Responsibility, and Sustainability Education in AACSB Undergraduate and Graduate Marketing Curricula"," degree of experience of real-life situations, degree of integration between theory and practice",2003,"CSR, Ethics/Business Ethics, Sustainability",Empirical,Effectiveness testing multiple schools,Quantitative,Multiple,HEI
16,"Sierra, J.",The potential of simulations for developing multiple learning outcomes: The student perspective," degree of experience of real-life situations, degree of integration between theory and practice",2012,Sustainability,Empirical,Effectiveness testing single method/tool,Quantitative,Gaming & Simulations,HEI
17,"Corcoran, P.B., Wals, A.E.J.","Higher Education and the Challenge of Sustainability: Problematics, Promise, and Practice"," degree of experience of real-life situations, degree of integration between theory and practice, degree of inter-/transdisciplinarity, degree of stakeholder integration, degree of student (self-)reflection, degree of student collaboration /  group work, degree of student emotional involvement, degree of student participation / activeness",2018,Sustainability,"Literature Review, Theoretical",Analysis of process of integrating ESD into education (countries/regions),NA,Multiple,HEI
18,"Sims, R.R.",Teaching Business Ethics for Effective Learning," degree of experience of real-life situations, degree of integration between theory and practice, degree of inter-/transdisciplinarity, degree of student (self-)reflection, degree of student collaboration /  group work, degree of student emotional involvement, degree of student participation / activeness",2020,Ethics/Business Ethics,Theoretical,Overview of multiple approaches,NA,Multiple,HEI
19,"Hursh, D.W., Martina, C.A., Trush, M.A., Davis, H.B.",Teaching Environmental Health to Children. An Interdisciplinary Approach," degree of experience of real-life situations, degree of integration between theory and practice, degree of inter-/transdisciplinarity, degree of student (self-)reflection, degree of student collaboration /  group work, degree of student participation / activeness",2019,University education in general,Theoretical,Overview of multiple approaches,NA,Multiple,School
20,"Tight, M., Ka Ho Mok, Huisman, J., Morphew, Ch.C.",The Routledge international handbook of higher education," degree of experience of real-life situations, degree of integration between theory and practice, degree of inter-/transdisciplinarity, degree of student (self-)reflection, degree of student collaboration /  group work, degree of student participation / activeness",2020,Environmental education,Theoretical,Overview of multiple approaches,NA,Multiple,HEI
21,"Gurung, R.A.R., L. Chick, N.L., Haynie, A.",Exploring signature pedagogies : approaches to teaching disciplinary habits of mind," degree of experience of real-life situations, degree of integration between theory and practice, degree of student (self-)reflection, degree of student collaboration /  group work, degree of student participation / activeness",2019,University education in general,Theoretical,Overview of multiple approaches,NA,Experiential education,Multiple
22,"Ogbechie, Ch., Akanji, H.",Experiential Learning in Executive Education: The Lagos Business School (LBS) Experience," degree of experience of real-life situations, degree of integration between theory and practice, degree of student (self-)reflection, degree of student collaboration /  group work, degree of student participation / activeness",2015,University education in general,Empirical,Analysis of process of integrating ESD into education (single school),Qualitative,Multiple,HEI
23,"Gurung, R.A.R., Schwartz, B.M.",Optimizing teaching and learning : practicing pedagogical research," degree of experience of real-life situations, degree of integration between theory and practice, degree of student collaboration /  group work, degree of student participation / activeness",2019,Sustainability,Theoretical,Overview of multiple approaches,NA,"Lecture-based teaching, Case studies, Problem-based learning",Multiple
24,"Remington-Doucette, S., Musgrove, Sh.","Variation in sustainability competency development according to age, gender, and disciplinary affiliation: Implications for teaching practice and overall program structure"," degree of experience of real-life situations, degree of integration between theory and practice, degree of student collaboration /  group work, degree of student participation / activeness",2009,University education in general,Empirical,Effectiveness testing single course,Quantitative,Multiple,HEI
